Sl. No.	Chen	Gierahn	Grun	Islam	Klein	Savas	Soumillon2	Tung	Soumillon1	Zigenhein	Soumillon3
1564	ENSG00000212123	EP400NL	H2-K1	Rnf157	Gm3776	ENSG00000138764	ALPK2	ENSG00000131142	DNAJC6	ENSMUSG00000050312	LOC286186
1565	ENSG00000151967	IFNLR1	Eed	Ncoa5	Gm6592	ENSG00000140199	LOC100128398	ENSG00000128309	DUSP10	ENSMUSG00000026926	ASAP1-IT1
1566	ENSG00000136048	PCBP3	Btg3	Dnm3	Gm9839	ENSG00000014138	KIF18B	ENSG00000170537	GPR125	ENSMUSG00000053877	PAWR
1567	ENSG00000176659	PRDM10	2810001G20Rik	Id2	Mir1970	ENSG00000101457	TMPRSS11BNL	ENSG00000184588	GTF2H2	ENSMUSG00000062519	USP34
1568	ENSG00000153406	RP4-785G19.5	Ap1s3	r_MER113	Olfr1216	ENSG00000246705	LINC00934	ENSG00000176401	LRP2	ENSMUSG00000003062	MSANTD3
1569	ENSG00000106436	SLC12A6	Zfp94	1300001I01Rik	Olfr1344	ENSG00000169429	LOC643201	ENSG00000182521	MPP3	ENSMUSG00000023072	PDP1
1570	ENSG00000138772	TLE2	Ckmt1	r_LTR16A	Sstr3	ENSG00000173085	GPR111	ENSG00000205086	NEDD4	ENSMUSG00000001473	TMPRSS3
1571	ENSG00000168772	TMEM87B	Ccbl1	Gpnmb	Vmn1r215	ENSG00000053372	GTPBP1	ENSG00000198590	PIGQ	ENSMUSG00000013622	SLC25A36
1572	ENSG00000138080	VPS9D1	Epb4.1l4a	Trio	Vmn2r7	ENSG00000136158	CLMN	ENSG00000188981	TAF5L	ENSMUSG00000027601	FAM74A2
1573	ENSG00000174669	ZNF320	Id2	Kctd11	Hcn4	ENSG00000167325	AP5B1	ENSG00000130829	AMY1C	ENSMUSG00000010755	MPG
1574	ENSG00000272892	ZNF367	Gm7334	Gdf11	Chrne	ENSG00000175087	KIF15	ENSG00000159588	RFK	ENSMUSG00000026753	CRYAB
1575	ENSG00000121577	LMO4	Acsm2	Orai2	Zfp146	ENSG00000173715	SCN11A	ENSG00000150722	YIPF2	ENSMUSG00000028412	C6orf163
1576	ENSG00000248724	PDLIM2	Ltbr	Fn1	Clcf1	ENSG00000108639	DNM1P35	ENSG00000138669	CYB5B	ENSMUSG00000022898	GATA6
1577	ENSG00000109321	SART1	Pttg1	Crat	Fzd4	ENSG00000049089	PKN2	ENSG00000141027	LOC100379224	ENSMUSG00000029047	HOXD3
1578	ENSG00000225975	RP11-554J4.1	Cat	Ccdc80	Olfr597	ENSG00000231607	GALNT6	ENSG00000251664	ACTG2	ENSMUSG00000027884	LIPG
1579	ENSG00000155465	RP4-816N1.6	Cldn7	2210016F16Rik	D130040H23Rik	ENSG00000173221	ZCCHC16	ENSG00000106511	PRDX2	ENSMUSG00000026335	MAP10
1580	ENSG00000088992	LINC00505	Disp1	2310003C23Rik	Klf14	ENSG00000198814	LOC100131655	ENSG00000099282	SESN2	ENSMUSG00000036564	MST4
1581	ENSG00000136167	TMC6	Slc35a5	Usp42	Nhlrc4	ENSG00000169403	GP2	ENSG00000184205	ZDHHC21	ENSMUSG00000040751	POLE2
1582	ENSG00000170049	TPRG1L	Prpf3	Slc39a1	Olfr38	ENSG00000197885	ST6GAL2	ENSG00000111644	PSMD12	ENSMUSG00000018451	PVRL1
1583	ENSG00000110148	PLEKHH2	Wdr74	Mia1	1700112E06Rik	ENSG00000204632	CTSV	ENSG00000182095	UNC50	ENSMUSG00000026380	SETD1A
1584	ENSG00000099812	GPN2	1190003J15Rik	Mmp14	Hey1	ENSG00000101849	RD3	ENSG00000099901	C20orf112	ENSMUSG00000028430	UBE3D
1585	ENSG00000224260	SP100	Serinc3	Tmed3	3110007F17Rik	ENSG00000136478	ARGFXP2	ENSG00000102119	LAT2	ENSMUSG00000034171	ZNF200
1586	ENSG00000165323	ADPRM	Cdca7l	Man1c1	A930003A15Rik	ENSG00000105514	C22orf26	ENSG00000165072	CLK2	ENSMUSG00000081788	RPS9
1587	ENSG00000223714	CCDC153	Kcnh2	Zcrb1	Hnf1a	ENSG00000101310	C8orf46	ENSG00000229809	NAGA	ENSMUSG00000021048	LINC00942
1588	ENSG00000102837	CTB-58E17.1	Bcam	Plaur	Tdrd9	ENSG00000091073	DAPP1	ENSG00000205464	PODN	ENSMUSG00000022617	LOC152225
1589	ENSG00000172318	EXPH5	Etf1	Fas	Il4	ENSG00000242574	LOC100507377	ENSG00000166268	RDH14	ENSMUSG00000024422	TRIB3
1590	ENSG00000088053	FGF2	Ccnl1	Dnajc14	Prss27	ENSG00000153443	LOC541473	ENSG00000167216	STK11IP	ENSMUSG00000006378	VPS54
1591	ENSG00000077279	GRIP2	Mia	Cpe	Crisp1	ENSG00000198646	UPK1A-AS1	ENSG00000117707	TRAP1	ENSMUSG00000035372	MS4A2
1592	ENSG00000277232	LRFN3	Enah	Pgc	Bhmt2	ENSG00000075420	KIAA1033	ENSG00000173272	PRPF4	ENSMUSG00000034616	COG3
1593	ENSG00000113532	PPP1R13L	Kbtbd7	Igfbp3	C4a	ENSG00000164885	SLK	ENSG00000095932	CD97	ENSMUSG00000031628	MBNL1
1594	ENSG00000152377	RNF215	Fbxw8	Il1rap	1700007K09Rik	ENSG00000177628	SOCS5	ENSG00000267645	DKK1	ENSMUSG00000004880	CCDC136
1595	ENSG00000105499	RP11-1017G21.5	Actn4	Enox2	4930539M17Rik	ENSG00000102393	BEND2	ENSG00000168476	LANCL1	ENSMUSG00000005882	CFHR3
1596	ENSG00000197747	RP11-398C13.6	Ctsc	6330406I15Rik	Cd1d2	ENSG00000020256	ZC3H12D	ENSG00000213578	STIM1	ENSMUSG00000026110	FBXO40
1597	ENSG00000130294	SERPING1	Fam213a	Zadh2	Hgfac	ENSG00000188868	ZG16	ENSG00000116604	ITPA	ENSMUSG00000024738	OAS1
1598	ENSG00000156925	TCEAL3	Hist1h1b	Mgll	AI317395	ENSG00000130713	UCHL5	ENSG00000063854	ARAF	ENSMUSG00000044600	WBSCR17
1599	ENSG00000273036	MAN1B1	Gstcd	9930104L06Rik	Acoxl	ENSG00000127586	FLJ33360	ENSG00000198754	FMOD	ENSMUSG00000031216	ABCC4
1600	ENSG00000254461	CHKA	Msi2	Zbtb39	Defb13	ENSG00000100104	PLXDC1	ENSG00000143512	KIAA1324L	ENSMUSG00000018476	CNTROB
1601	ENSG00000161860	KLF16	Fam120b	Neurl2	Hbb-bt	ENSG00000138303	GLI4	ENSG00000177675	SHARPIN	ENSMUSG00000020412	TRAPPC8
1602	ENSG00000067057	RNU2-63P	Nptx2	Gtsf1l	Mir5104	ENSG00000100580	LINC00535	ENSG00000139445	ZNF701	ENSMUSG00000070284	NAV3
1603	ENSG00000180938	CTC-459F4.3	Magohb	r_LTRIS3	Olfr1330	ENSG00000189319	DCDC5	ENSG00000229474	PTPMT1	ENSMUSG00000074925	DUXA
1604	ENSG00000137474	DUSP7	Dstn	Midn	Olfr1396	ENSG00000163781	KDM6A	ENSG00000197978	HHLA3	ENSMUSG00000027078	LRRC37A11P
1605	ENSG00000229153	KANK2	S100a11	H19	Prl2c1	ENSG00000149269	ABCA6	ENSG00000005844	DENND1A	ENSMUSG00000021403	TMEM180
1606	ENSG00000269113	MMP15	BC052688	Cldn6	1700080E11Rik	ENSG00000119203	NDC1	ENSG00000185128	GOT2	ENSMUSG00000000134	SLBP
1607	ENSG00000164161	ZNF30	Retsat	Adcy2	Kcnd1	ENSG00000142599	SV2B	ENSG00000005381	IFI44	ENSMUSG00000079104	RNF183
1608	ENSG00000196890	HARS2	Adk	Siah1a	Fmo9	ENSG00000168528	LOC150622	ENSG00000134765	PRADC1	ENSMUSG00000025613	PSPC1
1609	ENSG00000132541	PPP1R11	Arhgap28	Phc3	Trpm5	ENSG00000174151	H1FX-AS1	ENSG00000167676	LINC00477	ENSMUSG00000021959	SLC8A1
1610	ENSG00000278743	RBPMS2	B4galnt1	Tmem121	BC048602	ENSG00000273136	TPTE2	ENSG00000179284	SLC34A2	ENSMUSG00000027456	BACE1-AS
1611	ENSG00000134258	AGO2	Ptpn13	Gale	Gm44	ENSG00000133065	LINC00939	ENSG00000105219	NEBL	ENSMUSG00000005699	PRKAA2
1612	ENSG00000205649	C19orf57	Mdfic	Ddhd2	Gm12359	ENSG00000235078	QPCTL	ENSG00000188425	MED31	ENSMUSG00000004359	GGT8P
1613	ENSG00000260645	CCDC88C	Slc12a7	Ust	Gm12530	ENSG00000011566	FUT1	ENSG00000214595	PPME1	ENSMUSG00000028289	HMGA2
1614	ENSG00000255234	WIPI1	Wdr92	Cplx2	Gm2115	ENSG00000015568	LINC00327	ENSG00000188687	CYC1	ENSMUSG00000029545	MIR181A2HG
1615	ENSG00000161929	AC013449.1	Wipi1	Cdkl2	Olfr605	ENSG00000115568	LOC100131347	ENSG00000168874	CYBA	ENSMUSG00000024287	RSC1A1
1616	ENSG00000212724	IFLTD1	Mex3d	Islr	Olfr893	ENSG00000063660	SPIRE2	ENSG00000182600	NDUFAF5	ENSMUSG00000084353	SGCG
1617	ENSG00000277728	MAGEA3	Als2cl	Stx7	Slc5a11	ENSG00000163491	SLC30A8	ENSG00000215375	TBPL1	ENSMUSG00000098343	SYMPK
1618	ENSG00000268030	SCLY	Chpf	Wnt2	Car7	ENSG00000163291	DNM1P46	ENSG00000185689	TTTY8B	ENSMUSG00000038782	ZNF732
1619	ENSG00000267152	GIPC1	Fabp3	Tmsb15b2	Neu2	ENSG00000183742	LINC00092	ENSG00000118432	TSPAN3	ENSMUSG00000031613	LOC100287792
1620	ENSG00000278384	MDH1B	Ctsz	Cops8	Kdm4d	ENSG00000050327	PHF3	ENSG00000005073	ALG3	ENSMUSG00000083282	MED13
1621	ENSG00000261613	ADAM23	1700001P01Rik	Capn1	Ces5a	ENSG00000106479	PCDH11X	ENSG00000182798	LOC100505702	ENSMUSG00000039958	TEX101
1622	ENSG00000268027	CYBRD1	1700066B19Rik	Tbc1d17	1500015L24Rik	ENSG00000198947	FUT2	ENSG00000169297	LARP4	ENSMUSG00000034429	LOC643623
1623	ENSG00000144452	MYOZ1	Apom	Trmt2b	3110039M20Rik	ENSG00000158806	ITPK1-AS1	ENSG00000203989	LINC00518	ENSMUSG00000031360	NRIP1
1624	ENSG00000173083	PALM2	Ccl27b	Msrb3	Gm4541	ENSG00000167702	LOC100129138	ENSG00000130822	PPIL3	ENSMUSG00000019732	SENP6
1625	ENSG00000155011	RAP2C-AS1	Elmo3	Tmtc3	Gzmk	ENSG00000059769	SOX7	ENSG00000161835	LUZP1	ENSMUSG00000033491	KLHL30
1626	ENSG00000226803	RP11-124N14.3	Gm13306	Gtf3c1	Hba-x	ENSG00000197136	FAM227A	ENSG00000187566	SRPX2	ENSMUSG00000026824	ADORA2B
1627	ENSG00000182648	RP11-287D1.3	Hoxb13	Sgpp1	Mir6367	ENSG00000149243	C5orf60	ENSG00000168769	ILDR2	ENSMUSG00000027364	AKAP5
1628	ENSG00000198223	SEC14L2	LOC100861978	Igf2	Obp1a	ENSG00000224914	PSD3	ENSG00000149476	CORO1B	ENSMUSG00000086015	LINC00338
1629	ENSG00000273507	TTLL11	Lama3	Rabl2	Olfr1320	ENSG00000203546	ATP1B2	ENSG00000197020	KCNIP3	ENSMUSG00000003527	TENM3
1630	ENSG00000277382	USP35	Lrrc15	Tmem90b	Olfr541	ENSG00000182185	LOC100289019	ENSG00000268175	LOC100133315	ENSMUSG00000029283	AGBL2
1631	ENSG00000184489	USH1C	Rasl10a	Tmtc1	Olfr887	ENSG00000165914	ATP11C	ENSG00000134686	NUP214	ENSMUSG00000027583	PKP2
1632	ENSG00000258727	MRC2	Serpinb6b	Nid1	Vmn1r55	ENSG00000136425	ARHGEF5	ENSG00000197114	SLC5A10	gERCC-00108	DCDC5
1633	ENSG00000078269	GBE1	St6galnac2	Psmd9	Nacad	ENSG00000260778	CTAGE7P	ENSG00000170004	SOX5	ENSMUSG00000021732	TAB2
1634	ENSG00000259345	C12orf4	Zbtb38	Ptx3	Nr3c2	ENSG00000102878	LARGE-AS1	ENSG00000163565	UBA6	ENSMUSG00000001127	PLAC8
1635	ENSG00000107099	CTDSP1	Zfp128	Gpr108	1700024F13Rik	ENSG00000266709	LOC653501	ENSG00000167508	ZNF740	ENSMUSG00000055240	HES2
1636	ENSG00000134121	SHC1	Crebzf	Ecm1	Kap	ENSG00000261335	MKX	ENSG00000196976	PPP1R12C	ENSMUSG00000003341	LOC644669
1637	ENSG00000157368	ALG1	Otx2	Kif1a	Olfr1182	ENSG00000154655	PPTC7	ENSG00000142227	ECH1	ENSMUSG00000029027	ATAD5
1638	ENSG00000061656	INPPL1	Slc25a16	Taf1	A330048O09Rik	ENSG00000142303	VRK1	ENSG00000173614	DFNB59	ENSMUSG00000063919	NCEH1
1639	ENSG00000256463	GLB1L2	Zfp612	Flnb	Serpinb7	ENSG00000087076	C4orf26	ENSG00000155066	EDEM2	ENSMUSG00000030681	SLC25A40
1640	ENSG00000222043	LANCL2	Zxdc	Fam102b	Actrt2	ENSG00000269404	MED1	ENSG00000147576	POLR3H	ENSMUSG00000031389	TOX2
1641	ENSG00000226041	RP11-752G15.6	Pafah2	Usp20	Lce3a	ENSG00000254521	LOC100507173	ENSG00000011478	ACADM	ENSMUSG00000058331	ZNF740
1642	ENSG00000136842	AP3M1	Snhg8	Gng11	Gm9054	ENSG00000197497	BIN3-IT1	ENSG00000143412	SIPA1L1	ENSMUSG00000004043	DEK
1643	ENSG00000079931	SDCCAG3	Unkl	Id3	Gramd2	ENSG00000167074	LIN28A	ENSG00000232237	SLC9B2	ENSMUSG00000024299	ROBO1
1644	ENSG00000006042	NEFL	Spopl	Adora2b	Krt6b	ENSG00000273253	LINC00114	ENSG00000174460	CMSS1	ENSMUSG00000046994	ACTR2
1645	ENSG00000254741	FAM3C	Casp7	Casp12	Olfr1428	ENSG00000082269	CCL5	ENSG00000136099	PCOLCE2	ENSMUSG00000022412	APOBEC3A
1646	ENSG00000156515	AAK1	9530036O11Rik	r_RLTR8	Serpina10	ENSG00000165704	KIAA1614	ENSG00000145736	DHRS7B	ENSMUSG00000020986	SLC19A3
1647	ENSG00000226833	MITD1	Adcy6	Notch2	C9	ENSG00000184988	LOC100288748	ENSG00000146574	RSAD1	ENSMUSG00000034263	MOCOS
1648	ENSG00000260265	ADCYAP1R1	Ccdc122	Ppic	Frmpd1	ENSG00000266173	MARVELD3	ENSG00000105717	SRP68	ENSMUSG00000044254	LIX1
1649	ENSG00000237515	CYP39A1	Esrp1	Slit3	Glrp1	ENSG00000225331	TRIM58	ENSG00000179912	LOC115110	ENSMUSG00000048497	RNF144A-AS1
1650	ENSG00000206129	MALT1	Gramd3	Trappc2	Pgam2	ENSG00000166340	ZNF625	ENSG00000083838	NAPA	ENSMUSG00000022114	ADNP
1651	ENSG00000244055	NKX2-2	Islr2	Ly6c1	Pak6	ENSG00000137547	CD3EAP	ENSG00000187902	ACYP1	ENSMUSG00000068396	RIMKLB
1652	ENSG00000158458	RP11-522I20.3	Nbeal2	Mecp2	B230214G05Rik	ENSG00000169764	FANCF	ENSG00000038295	APBA3	ENSMUSG00000026273	ELOVL7
1653	ENSG00000153814	SEMA3A	Nnat	Osbpl5	Crygd	ENSG00000106638	ZCCHC4	ENSG00000111837	LOC286359	ENSMUSG00000029598	GPR124
1654	ENSG00000273265	ZNF333	Nptxr	4930523C07Rik	Cym	ENSG00000105750	LINC00861	ENSG00000082175	MAPKAPK5	ENSMUSG00000040359	CYP1A2
1655	ENSG00000227946	MR1	Pcx	8430419L09Rik	Cyp4b1-ps2	ENSG00000116957	METTL20	ENSG00000204661	MKNK1-AS1	gERCC-00059	GSDMC
1656	ENSG00000133401	SGPP1	Rraga	Kcnq5	Gm7849	ENSG00000119812	DISC1	ENSG00000104361	RCN3	ENSMUSG00000039539	GATAD2A
1657	ENSG00000247679	GPT2	Slc24a1	Cnksr3	Lurap1	ENSG00000273802	C16orf54	ENSG00000000005	BGN	ENSMUSG00000044033	POPDC3
1658	ENSG00000170074	C2CD2L	Spred3	Fmr1nb	Olfr522	ENSG00000149177	LOC400891	ENSG00000169435	RRAGB	ENSMUSG00000039556	CC2D1A
1659	ENSG00000169551	AIFM2	Sv2c	Cep170	Serpina1c	ENSG00000183814	ZNF385C	ENSG00000124159	SCAMP3	ENSMUSG00000027180	GCHFR
1660	ENSG00000275880	LINC00491	Wscd1	Stk4	Snora17	ENSG00000137478	GNAQ	ENSG00000172061	KRBA2	ENSMUSG00000030768	KMT2A
1661	ENSG00000137877	PDGFC	Zeb2	Klhl23	Try10	ENSG00000221926	RASA2	ENSG00000153832	PPM1F	ENSMUSG00000082716	GPR12
1662	ENSG00000268505	RP11-259N19.1	Ptcd1	Prpf3	Sec31b	ENSG00000214113	MUC20	ENSG00000157017	C16orf80	ENSMUSG00000082729	LOC440896
1663	ENSG00000073350	ZNF784	Lhpp	Khk	Gfra2	ENSG00000137124	LUZP2	ENSG00000162913	AMIGO2	ENSMUSG00000020946	SMIM15
1664	ENSG00000075043	HOXB2	Ankrd13c	Ndnl2	Gjd4	ENSG00000160446	GATM-AS1	ENSG00000163492	HSD17B12	ENSMUSG00000007872	FLJ33360
1665	ENSG00000213793	AC006988.1	Ccdc134	Lingo1	Ptchd2	ENSG00000187210	CYP2B6	ENSG00000178814	HMBS	ENSMUSG00000047250	DSE
1666	ENSG00000099715	C5orf28	Nxt2	Dusp22	Cadm4	ENSG00000008517	GP5	ENSG00000154822	KIF9-AS1	ENSMUSG00000095315	TAF1B
1667	ENSG00000236723	HIP1R	D5Ertd605e	Ndn	4930598F16Rik	ENSG00000006576	GPR37L1	ENSG00000066248	ARL2	ENSMUSG00000040213	FMNL2
1668	ENSG00000228672	SEL1L3	Zfp773	r_(TTTC)n	Dlx4	ENSG00000044115	TTPA	ENSG00000158806	ZNF266	ENSMUSG00000022033	IMPG2
1669	ENSG00000243978	KIAA1324L	Dynlt3	Actn1	2310030A07Rik	ENSG00000014824	DDX51	ENSG00000204961	BRD1	ENSMUSG00000066042	NAP1L6
1670	ENSG00000214827	CAT	Mras	Snx21	Cdk15	ENSG00000177034	LINC00971	ENSG00000180071	DCAF4L1	ENSMUSG00000049488	SLC2A1-AS1
1671	ENSG00000229481	AC109351.1	Cbr3	Dync1i2	Cyp4x1	ENSG00000113269	DAG1	ENSG00000157240	DKFZp686K1684	ENSMUSG00000025592	FAM83A
1672	ENSG00000163032	HOXA-AS2	Pdxk	1700007K13Rik	Fcer1a	ENSG00000066697	PMCHL2	ENSG00000247121	GEMIN8P4	ENSMUSG00000063281	CEP120
1673	ENSG00000185915	MOGS	Afmid	Cep135	Kcnh7	ENSG00000027001	RAB11FIP1	ENSG00000143816	LMBR1L	ENSMUSG00000028121	LINC00927
1674	ENSG00000236393	TAF9B	Pianp	Pdgfrb	Slco1a6	ENSG00000169715	LOC100507462	ENSG00000168505	LOC158434	ENSMUSG00000050244	CAMK1D
1675	ENSG00000166863	CARKD	Simc1	Lgals1	Mageb3	ENSG00000150768	FAM65B	ENSG00000145526	CTBS	ENSMUSG00000031015	ZNF99
1676	ENSG00000260304	RBM38	Fancf	Ddr2	4930413E15Rik	ENSG00000198176	TSPAN2	ENSG00000212999	PEX11A	ENSMUSG00000044006	FAM35DP
1677	ENSG00000141574	PXN-AS1	Trak1	Serpinb9b	Olfr464	ENSG00000148337	ABCC13	ENSG00000204291	C6orf57	ENSMUSG00000034484	FAS-AS1
1678	ENSG00000005471	EIF2B2	Tmem63a	Kcnk5	Tmem235	ENSG00000162783	CDH1	ENSG00000255284	CCDC12	ENSMUSG00000046562	HIST1H3B
1679	ENSG00000204116	TMEM180	Pmel	Taok2	Sh2d7	ENSG00000204482	RAB11FIP4	ENSG00000126010	CRAT	ENSMUSG00000040006	HIST1H4E
1680	ENSG00000272024	PSPN	Sri	Igf2r	Spert	ENSG00000186314	SMC4	ENSG00000049860	CYB5R2	ENSMUSG00000029699	MTRNR2L7
1681	ENSG00000125931	NEB	Dtx1	Fyn	1700018B08Rik	ENSG00000277075	EXPH5	ENSG00000113100	DGKQ	ENSMUSG00000032435	PCDHGA12
1682	ENSG00000117152	TLX3	Psg23	Dennd4c	4930417O13Rik	ENSG00000198690	ABHD11	ENSG00000157778	IQCE	ENSMUSG00000081100	PCDHGA5
1683	ENSG00000279070	RP11-514O12.4	Mtrf1	Gpc1	Gm12298	ENSG00000261801	SCAND2P	ENSG00000058085	MED7	ENSMUSG00000001249	PCDHGB8P
1684	ENSG00000226441	AC074183.4	8430427H17Rik	Ston1	A230103J11Rik	ENSG00000124067	GAREM	ENSG00000180626	MZT1	ENSMUSG00000051232	PSORS1C1
1685	ENSG00000263146	ATRNL1	Spop	Rnf139	Fam163b	ENSG00000130338	ZNF570	ENSG00000000938	PANX1	ENSMUSG00000063439	RARRES1
1686	ENSG00000135046	C17orf59	Fam124a	Pts	Npy6r	ENSG00000109680	KIAA1751	ENSG00000177551	UBTD1	ENSMUSG00000026956	SMPD3
1687	ENSG00000049540	C17orf70	Mios	Emp1	Prox1	ENSG00000205765	ZNF527	ENSG00000135638	ZFAND2B	ENSMUSG00000071151	SNPH
1688	ENSG00000251126	CA13	Acp5	Zfp618	Rspo2	ENSG00000233822	CT64	ENSG00000103154	QSER1	ENSMUSG00000097574	TDRP
1689	ENSG00000280719	CACNA1D	Ntf5	Crybg3	P2ry10	ENSG00000221829	LOC283914	ENSG00000185008	TNKS	ENSMUSG00000021365	TTC21A
1690	ENSG00000184381	CALY	Arl2bp	Ccnh	D430036J16Rik	ENSG00000196126	AMER3	ENSG00000102452	FLJ25363	ENSMUSG00000079584	LOC100505495
1691	ENSG00000167767	CCBE1	Fancc	1110032A03Rik	4930520P13Rik	ENSG00000145982	PRELID2	ENSG00000222009	AIG1	ENSMUSG00000021803	KIAA1429
1692	ENSG00000099998	CELF4	Ccdc36	Pmp22	9530003J23Rik	ENSG00000237188	LRRC19	ENSG00000141431	ZNF85	ENSMUSG00000058355	ARHGAP5
1693	ENSG00000271991	CHST2	Aggf1	Fbxl7	Cypt14	ENSG00000196754	HPSE	ENSG00000187416	CTNNBL1	ENSMUSG00000033460	IER5
1694	ENSG00000275379	CTD-2194D22.3	Alpl	Cpeb2	Dsg4	ENSG00000282386	ECT2L	ENSG00000203301	HSD17B1	ENSMUSG00000001524	C8orf37
1695	ENSG00000149927	CTD-2521M24.8	Ccdc166	Svop	Fam65c	ENSG00000187605	RBBP5	ENSG00000128254	PRPF31	ENSMUSG00000028413	FDXACB1
1696	ENSG00000172006	DNAJC27	Adssl1	Tmem70	Gm16548	ENSG00000136715	ISG15	ENSG00000169242	TSEN34	ENSMUSG00000029228	LOC401052
1697	ENSG00000182873	FAM229A	Plxnb1	Fbn2	Mir2139	ENSG00000181004	LINC00904	ENSG00000172020	STEAP1B	ENSMUSG00000031925	LOC440243
1698	ENSG00000143512	FGFR2	Rab11fip3	Nin	Mir6358	ENSG00000182700	SLC25A15	ENSG00000174501	CCDC86	ENSMUSG00000044117	FAM83H-AS1
1699	ENSG00000119888	GDPD3	Irf2bpl	Parva	Olfr1230	ENSG00000137166	SPIB	ENSG00000205560	ORMDL3	ENSMUSG00000067150	LINC00907
1700	ENSG00000240303	GLT8D2	Tspan3	Fam3a	Olfr922	ENSG00000169733	TAF8	ENSG00000173876	SETDB1	ENSMUSG00000022414	A4GALT
1701	ENSG00000081853	GRIP1	Ids	Nfatc4	Prss58	ENSG00000124203	SPN	ENSG00000168993	FBXO28	ENSMUSG00000068299	ACVR1C
1702	ENSG00000198225	GS1-393G12.12	Vps45	Ly6c2	Slc16a8	ENSG00000142634	OSER1-AS1	ENSG00000161896	IGFLR1	ENSMUSG00000028842	ANKRD22
1703	ENSG00000110719	HMHA1	Gm805	Tagap	Ssxb1	ENSG00000126062	AQP7	ENSG00000105928	PRMT1	ENSMUSG00000071645	CXorf31
1704	ENSG00000248027	IGFBP4	Clybl	Pcyox1l	Wfikkn1	ENSG00000064763	F11R	ENSG00000249679	S1PR5	ENSMUSG00000038775	EFHC2
1705	ENSG00000273551	KBTBD3	Card10	Zfpm1	Catsperb	ENSG00000099910	CCL16	ENSG00000116983	TMCO4	ENSMUSG00000097793	LOC554206
1706	ENSG00000103154	KLF3	Npw	Sytl4	1700016H13Rik	ENSG00000092036	LINC00887	ENSG00000188321	LOC100132077	ENSMUSG00000022089	PNMAL2
1707	ENSG00000277400	LDLRAP1	Snora78	Acbd6	Cacng2	ENSG00000163492	SYT13	ENSG00000258429	PDF	ENSMUSG00000029472	RECQL4
1708	ENSG00000197191	LGI4	Mtm1	Prss23	BC107364	ENSG00000157326	ESRRG	ENSG00000134326	PSMG4	ENSMUSG00000092390	C14orf23
1709	ENSG00000174059	LHFPL5	Zdhhc15	Fst	Scgb3a2	ENSG00000227486	SLC17A5	ENSG00000128040	EGLN1	ENSMUSG00000030979	ADAM1A
1710	ENSG00000138030	MAFF	Nat6	Plcd3	Tmem173	ENSG00000275385	C1orf86	ENSG00000139193	LINC00691	ENSMUSG00000036819	C2orf44
1711	ENSG00000183044	MKLN1-AS2	Rragc	Trim56	Copg2os2	ENSG00000152359	NUGGC	ENSG00000239857	RAPH1	ENSMUSG00000020829	CLDN22
1712	ENSG00000173535	MT-TD	Dus4l	Dusp1	Gm15008	ENSG00000050344	TCF19	ENSG00000184254	IFITM3	ENSMUSG00000006398	DLGAP5
1713	ENSG00000170421	MYO1F	Gm514	Cdon	Grip2	ENSG00000104835	LOC100996251	ENSG00000196502	C21orf33	ENSMUSG00000027932	EFCAB11
1714	ENSG00000232445	N4BP2L1	2900011O08Rik	Galntl4	Olfr860	ENSG00000164713	PNPLA1	ENSG00000048545	TGM2	ENSMUSG00000003808	FAM162B
1715	ENSG00000134757	NPAS2	Actg1	Nfatc1	Pon1	ENSG00000161533	SCML4	ENSG00000162494	LOC389906	ENSMUSG00000036975	FAM92B
1716	ENSG00000196296	ODF3L2	Mmrn2	Tdrd7	Prtn3	ENSG00000083720	JAKMIP2	ENSG00000162711	ASB13	ENSMUSG00000024142	FZR1
1717	ENSG00000129595	PRR22	Lars2	Styk1	Rcvrn	ENSG00000115970	COLEC11	ENSG00000171631	KCNIP4-IT1	ENSMUSG00000031530	HIST1H2AM
1718	ENSG00000129317	PRR5L	Rrp9	Arhgdib	Reg3a	ENSG00000107485	FCAR	ENSG00000053702	RMND5A	ENSMUSG00000031834	MICU2
1719	ENSG00000105642	PRX	Pofut2	F3	Klhl1	ENSG00000145331	MTHFD2P1	ENSG00000118307	MLPH	ENSMUSG00000086568	MIPEPP3
1720	ENSG00000183535	PTN	S1pr2	Pigh	Slc7a12	ENSG00000158373	ANKRD50	ENSG00000165566	MUC22	ENSMUSG00000027582	NCAPG
1721	ENSG00000108846	RNF31	Micu2	Zfpm2	Esp4	ENSG00000159882	DBIL5P2	ENSG00000166091	RCOR3	ENSMUSG00000004929	NTNG1
1722	ENSG00000156219	RP11-115C21.2	Prkcz	Megf8	Vmn2r99	ENSG00000180773	DLX6-AS1	ENSG00000184916	TRAPPC5	ENSMUSG00000033365	PHF10
1723	ENSG00000181085	RP11-135L13.4	Fgfrl1	Sparc	3110045C21Rik	ENSG00000100522	LOC284632	ENSG00000103089	APEX2	ENSMUSG00000032030	PTGS2
1724	ENSG00000185189	RP11-161M6.2	1300018J18Rik	r_MER63D	Myl10	ENSG00000018610	RAET1K	ENSG00000183691	PCCA	ENSMUSG00000023243	RAB6B
1725	ENSG00000128965	RP11-167H9.4	Ptpn21	Mxra8	Cnpy1	ENSG00000002919	WDR17	ENSG00000185105	STAU2	ENSMUSG00000004558	RBKS
